user_id,movie_id,index_ms,naive_ms,speedup,index_witness,naive_witness
135,483,92.05,207.27,2.25,2,7
258,169,64.51,164.94,2.56,2,5
113,478,37.76,43.82,1.16,1,1
638,302,37.49,87.8,2.34,1,2
660,484,36.89,42.99,1.17,1,1
117,64,55.27,224.23,4.06,2,8
589,64,56.25,285.31,5.07,2,10
273,64,39.1,44.04,1.13,1,1
358,98,73.3,327.77,4.47,2,12
714,963,37.18,43.21,1.16,1,1
306,427,36.03,44.89,1.25,1,1
4,12,54.21,42.03,0.78,1,1
774,191,117.21,534.34,4.56,5,21
296,474,55.87,189.39,3.39,2,6
300,480,37.98,92.6,2.44,1,3
60,589,35.78,65.55,1.83,1,1
21,268,37.07,43.12,1.16,1,1
801,178,36.43,41.83,1.15,1,1
650,408,97.99,164.26,1.68,3,6
73,190,38.34,60.75,1.58,1,1
266,318,38.32,92.0,2.4,1,3
619,429,37.54,44.04,1.17,1,1
150,474,53.78,44.46,0.83,1,1
10,79,37.27,44.23,1.19,1,1
145,272,36.5,63.59,1.74,1,1
779,89,36.72,43.02,1.17,1,1
272,223,35.47,43.06,1.21,1,1
491,169,115.88,203.29,1.75,4,8
791,114,228.34,60.18,0.26,1,1
597,603,40.2,44.53,1.11,1,1
649,657,36.33,44.32,1.22,1,1
874,50,51.61,42.75,0.83,1,1
220,483,55.74,153.95,2.76,2,5
799,251,36.79,41.93,1.14,1,1
617,23,36.2,41.49,1.15,1,1
158,205,59.34,63.84,1.08,1,2
46,513,55.14,66.08,1.2,2,2
885,603,35.28,59.54,1.69,1,1
572,511,35.77,89.0,2.49,1,3
928,174,35.94,52.04,1.45,1,1
674,180,104.46,57.9,0.55,1,1
667,189,38.77,44.85,1.16,1,1
88,169,38.82,64.34,1.66,1,1
864,272,58.24,163.55,2.81,2,6
778,709,39.56,61.29,1.55,1,1
75,479,38.21,45.29,1.19,1,1
57,480,58.87,228.4,3.88,2,5
309,480,50.9,46.07,0.91,1,1
567,923,58.99,89.5,1.52,2,2
584,427,36.6,45.05,1.23,1,1
600,513,38.33,44.43,1.16,1,1
521,494,60.0,44.74,0.75,1,1
95,169,36.21,43.0,1.19,1,1
777,510,37.47,43.32,1.16,1,1
731,515,37.65,84.12,2.23,1,2
149,474,57.64,163.18,2.83,2,5
750,169,75.75,164.26,2.17,3,6
658,173,58.35,67.53,1.16,1,2
230,480,37.53,45.38,1.21,1,1
404,64,58.03,181.57,3.13,2,6
